# Build 5 — SERV serv_synth_wrapper via Quartus Prime Pro 26.1, Cyclone 10 GX 10CX220YU484E5G, board-less (virtual pins); full compile SUCCESS
sha256,bytes,artifact
B445DD92C5D8F2368889682D3DF2D0ED62A85674CD707D6E442ED8D402B33E6D,54438,serv.syn.rpt
D235DA2C67EC35278F5FF24B7029FCB76E60C083F823348F7985010633332327,177178,serv.fit.rpt
E15F401767DFB6781361466E41A23ED78099CBBCB3F5F599C6652362B34CFB8E,253115,serv.sta.rpt
E3E883EAB087B01B8AA20514CC078CCBB9548C36FA5D3AFBC791BD3ED1B4B474,9021295,serv.sof
